State,Year,EV,PHEV,HEV,Biodiesel,E85,CNG,Propane,Hydrogen,Methanol,Gasoline,Diesel
Alabama,2021,"4,700","3,300","42,500","40,500","449,500",500,100,0,0,"4,051,000","123,500"
Alaska,2021,"1,300",500,"7,300","7,600","50,100",100,0,0,0,"464,200","31,700"
Arizona,2021,"40,700","15,500","132,200","51,000","460,400",900,900,0,0,"5,395,300","191,800"
Arkansas,2021,"2,400","1,800","26,100","28,700","290,200",300,0,0,0,"2,241,600","88,800"
California,2021,"563,100","315,300","1,355,900","163,600","1,343,200","12,600","1,500","11,800",0,"30,512,600","710,500"
Colorado,2021,"37,000","16,100","113,600","53,800","346,700",600,100,0,0,"4,456,600","208,400"
Connecticut,2021,"13,300","9,200","55,400","8,800","140,700",400,0,0,0,"2,578,400","44,300"
Delaware,2021,"3,000","2,000","16,700","4,100","67,400",100,0,0,0,"796,400","14,600"
District of Columbia,2021,"3,700","2,500","16,100",300,"17,400",100,0,0,0,"278,900","2,100"
Florida,2021,"95,600","32,200","287,000","129,300","1,154,600",600,100,0,0,"15,595,900","336,900"
Georgia,2021,"34,000","13,600","128,200","70,200","745,200",700,300,0,0,"8,123,100","203,200"
Hawaii,2021,"14,200","4,500","28,800","2,800","42,200",100,0,0,0,"968,200","15,700"
Idaho,2021,"3,500","2,500","30,400","33,400","132,500",300,100,0,0,"1,545,500","133,500"
Illinois,2021,"36,500","18,300","214,300","48,100","822,300",800,100,0,0,"8,657,800","169,900"
Indiana,2021,"10,400","7,500","88,200","41,100","587,400",800,100,0,0,"5,149,000","151,600"
Iowa,2021,"3,700","3,600","42,500","31,100","343,600",300,0,0,0,"2,525,400","100,900"
Kansas,2021,"4,500","3,300","38,300","21,400","260,900",400,100,0,0,"2,158,100","85,900"
Kentucky,2021,"4,200","3,100","48,300","27,100","365,800",600,0,0,0,"3,422,900","116,200"
Louisiana,2021,"3,200","2,000","26,000","54,400","413,200",300,0,0,0,"3,185,200","115,000"
Maine,2021,"3,000","4,200","25,500","9,100","112,200",100,0,0,0,"1,044,300","27,400"
Maryland,2021,"25,600","17,200","130,900","27,700","347,200",400,0,0,0,"4,380,600","89,500"
Massachusetts,2021,"30,500","22,200","138,800","17,500","306,900",400,0,0,0,"4,816,400","59,700"
Michigan,2021,"17,500","17,200","106,400","52,100","912,200",500,100,0,0,"7,067,400","173,200"
Minnesota,2021,"15,000","8,900","95,200","40,100","548,700",300,0,0,0,"4,342,800","128,700"
Mississippi,2021,"1,300","1,100","18,700","27,400","305,000",200,0,0,0,"2,289,900","76,000"
Missouri,2021,"10,000","7,200","85,600","55,800","602,500","1,800",100,0,0,"4,582,100","172,100"
Montana,2021,"1,600","1,100","13,900","27,500","100,500",100,0,0,0,"761,800","70,900"
Nebraska,2021,"2,700","2,000","23,700","21,600","202,500",200,0,0,0,"1,574,900","73,800"
Nevada,2021,"17,400","6,300","50,200","21,300","133,600",300,100,0,0,"2,140,700","84,700"
New Hampshire,2021,"4,000","3,500","27,000","11,300","102,800",200,0,0,0,"1,187,400","29,300"
New Jersey,2021,"47,800","18,500","121,500","23,900","412,200",500,100,0,0,"6,346,100","86,400"
New Mexico,2021,"4,200","2,800","32,800","25,200","156,900",200,100,0,0,"1,569,000","87,600"
New York,2021,"51,900","44,600","221,600","43,000","663,700",900,100,0,0,"10,116,400","152,400"
North Carolina,2021,"25,200","13,500","151,600","61,000","687,700",800,200,0,0,"7,685,800","210,000"
North Dakota,2021,400,400,"5,400","16,000","95,700",100,0,0,0,"607,000","42,800"
Ohio,2021,"21,200","13,100","143,700","54,600","875,100","1,200",100,0,0,"9,019,200","199,200"
Oklahoma,2021,"7,100","6,900","38,700","50,700","391,100","2,400",300,0,0,"3,429,700","148,500"
Oregon,2021,"30,300","16,900","123,200","43,900","193,700",300,100,0,0,"3,094,700","217,800"
Pennsylvania,2021,"26,800","17,800","168,200","58,600","723,000","1,200",100,0,0,"9,035,500","195,000"
Rhode Island,2021,"2,500","2,400","16,300","2,500","44,100",100,0,0,0,"796,100","11,300"
South Carolina,2021,"7,400","4,700","57,400","32,100","411,800",400,100,0,0,"4,200,600","104,900"
South Dakota,2021,700,700,"8,700","16,900","105,000",100,0,0,0,"726,200","51,100"
Tennessee,2021,"12,200","6,300","79,800","38,400","511,000",500,100,0,0,"5,396,100","150,200"
Texas,2021,"80,900","30,600","304,700","376,300","2,422,300","2,200","1,600",0,0,"20,599,100","765,100"
Utah,2021,"16,500","7,500","58,500","51,600","190,200","2,600",700,0,0,"2,428,900","153,800"
Vermont,2021,"3,400","3,200","15,800","5,600","42,000",100,0,0,0,"511,900","15,000"
Virginia,2021,"30,700","15,800","176,500","35,300","506,600",600,100,0,0,"6,661,000","154,300"
Washington,2021,"66,800","24,300","240,000","59,000","359,700",600,100,0,0,"5,792,000","283,600"
West Virginia,2021,"1,000","1,000","14,500","13,900","129,800",200,0,0,0,"1,268,300","46,100"
Wisconsin,2021,"9,300","7,700","93,500","39,800","556,500",700,100,0,0,"4,639,100","143,300"
Wyoming,2021,500,400,"5,700","17,100","59,400",100,0,0,0,"482,400","62,100"
Alabama,2020,"2,900","2,100","36,300",0,"567,600","15,100",0,0,0,"3,863,500","154,100"
Alaska,2020,900,400,"6,200",0,"64,000","2,700",0,0,0,"460,900","39,600"
Arizona,2020,"28,800","11,200","115,400",0,"584,800","13,800",0,0,0,"5,202,200","226,000"
Arkansas,2020,"1,300","1,100","22,400",0,"392,800","7,200",0,0,0,"2,093,700","111,100"
California,2020,"425,300","265,500","1,228,700",0,"1,745,100","75,300",0,"14,000",300,"29,642,700","825,900"
Colorado,2020,"24,700","10,800","96,500",0,"447,000","11,400",0,0,0,"4,263,300","249,700"
Connecticut,2020,"9,000","6,200","49,600",0,"199,300","2,000",0,0,0,"2,577,600","53,000"
Delaware,2020,"1,900","1,500","14,800",0,"89,700","1,000",0,0,0,"780,600","17,900"
District of Columbia,2020,"2,400","1,600","14,300",0,"21,900",200,0,0,0,"274,400","2,300"
Florida,2020,"58,200","22,400","248,500",0,"1,513,000","13,100",0,0,0,"14,925,500","433,700"
Georgia,2020,"23,500","9,400","109,000",0,"919,400","21,000",0,0,0,"7,665,100","252,800"
